text,emotion
I am so happy today! Everything is going great!,joy
I feel really sad and lonely right now,sadness
This makes me so angry! I can't believe it!,anger
I'm scared of what might happen next,fear
I'm so surprised by this unexpected news!,surprise
"This is disgusting, I can't stand it",disgust
I love spending time with my family,love
I'm feeling neutral about this situation,neutral
What a wonderful day! I'm excited!,joy
I'm feeling down and depressed today,sadness
I'm furious about this injustice!,anger
I'm terrified of the dark,fear
I'm shocked by this revelation!,surprise
This food tastes disgusting,disgust
I adore my new puppy,love
I don't have strong feelings about this,neutral
Today is absolutely amazing!,joy
I feel miserable and hopeless,sadness
This is so frustrating and annoying!,anger
I'm worried about the future,fear
I'm amazed by this incredible performance!,surprise
This smell is revolting,disgust
I cherish every moment with you,love
I'm indifferent to this topic,neutral
I'm thrilled about the good news!,joy
I'm feeling blue and melancholic,sadness
I'm irritated by this constant noise!,anger
I'm anxious about the upcoming test,fear
I'm astonished by this discovery!,surprise
This is sickening to watch,disgust
I'm affectionate towards my friends,love
This doesn't affect me either way,neutral
I'm delighted with the results!,joy
I'm feeling gloomy and sad,sadness
I'm mad about this unfair treatment!,anger
I'm frightened by the loud thunder,fear
I'm stunned by this announcement!,surprise
This is repulsive to me,disgust
I'm fond of this beautiful place,love
I have no particular opinion on this,neutral
I'm overjoyed with happiness!,joy
I'm feeling sorrowful today,sadness
I'm enraged by this behavior!,anger
I'm petrified of heights,fear
I'm bewildered by this mystery!,surprise
This is nauseating to think about,disgust
I'm enamored with this city,love
I'm apathetic towards this issue,neutral
